Learning language,Translation
"מכִינָה להָכִין","przygotowuje przygotować"
"אוֹמֶרֶת לומָר","mówi mówić"
"TEST","טסט"
"hhhhh","hhhhhhhhhhh"
"אוֹמֶר לומָר","mówię mówić"
"נִמאָס להִימָאֶס","mam dość mieć dość"
"עוֹזֶב לָעָזוֹב","odchodzę odejść"
"יוֹדֶעָ לָדָעָת","wiem wiedzieć"
"צוֹחֶקֶת לִצחוֹק","śmieje się śmiać się"
"מָחלִיט להָחלִיט","decyduje zdecydować"
"לָעָבוֹר","przenieść się"
"הָיָה לִהִיוֹת","było być"
"חָשָבתִי לָחשוֹב","myślałem myśleć"
"תִתגָעגֶעָ להִתגָעָגֶעָ","zatęsknisz tęsknić"
"תָגִיד","powiesz"
"צוֹדֶק\ת","masz rację"
"קוֹרָעָת לִקרוֹעָ","zdziera zdzierać"
"עוֹקפִים לָעָקוֹף","wyprzedzają wyprzedzać"
